image_path max_mag std_mag ZP_R ZP_B ZP_V SLOPE_R SLOPE_B SLOPE_V CAL_BAND CAL_RES
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20171118/NGC1808/calibrated/NGC1808-001_30seg_cal.fits 16.5164873191 1.85326466189 50.2511924019 53.7312665818 51.2298391759 2.39298910764 2.54966121015 2.44011481934 V 4.80540423088
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20171118/NGC1808/calibrated/NGC1808-010_30seg_cal.fits 16.4961453251 1.84442387313 49.7334936259 53.7890281887 50.8896270121 2.35380366746 2.54874356848 2.41289138082 V 4.77525782877
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20171118/NGC1808/calibrated/NGC1808-015_30seg_cal.fits 16.5695898794 1.63038036308 51.6897673377 55.0796448737 52.7200419659 2.48406445105 2.63417388851 2.53396600748 V 4.4110007671
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20171118/NGC1808/calibrated/NGC1808-020_30seg_cal.fits 16.4579857103 1.86963245743 50.1889358469 53.7271198586 51.22441385 2.37986602604 2.54066615593 2.43101312726 V 4.9037697256
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170114/eso202-009/calibrated/eso0202-009-016_cal.fits 16.1694113334 1.08039524024 43.768783769 44.4200026519 44.0313790115 1.82935627509 1.79806188785 1.82812007647 R 2.14793488911
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170114/eso202-009/calibrated/eso0202-009-018_cal.fits 16.2064967588 1.15267948997 42.1988634813 42.8091297598 42.1607659221 1.76179493279 1.72849279597 1.74235899371 R 1.99216994838
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170114/eso202-009/calibrated/eso0202-009-027_cal.fits 16.0955361012 1.08066208978 38.5909755162 41.5724492438 39.9633152419 1.52866116849 1.64298085624 1.59573793118 V 2.00167160403
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170114/eso202-009/calibrated/eso0202-009-036_cal.fits 16.3822694275 1.28521960944 44.8682916106 45.8283098027 45.1835105212 1.89220744338 1.88122999221 1.89469323153 R 1.97384142496
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170114/eso202-009/calibrated/eso0202-009-045_cal.fits 16.1880241003 1.34561346894 43.8698196661 45.0354706181 44.3287392834 1.83931397248 1.84076621558 1.85038141324 R 2.46219394694
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170114/eso202-009/calibrated/eso0202-009-054_cal.fits 16.0655880057 1.20802715858 43.9264888249 43.8974838274 44.191725246 1.84080710835 1.77024268319 1.83969583834 R 1.53847620916
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170114/eso202-009/calibrated/eso0202-009-060_cal.fits 16.2231310453 1.15386263582 46.2562972118 46.5754113572 46.2570725911 1.9740819622 1.92127925066 1.955995311 R 1.7968357867
/home/bruno/Data/LIGO_O2/Jan04/newstacks/ESO202-009/eso202-009_171116_b_median_w.fits 19.6897705755 1.71264257307 31.2996929785 32.7759176176 31.7589921591 1.02961537217 1.05142737811 1.04072819175 R 1.02579768602
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/eso242-018/calibrated/eso242-018-002_cal.fits 16.9087058124 0.524490255704 49.9987350815 47.3839963935 50.0655881172 2.10058501094 1.88472122863 2.08905620397 B 1.93354053229
/home/bruno/Data/LIGO_O2/Jan04/newstacks/ESO242-018/eso242-018_171118_1_median.fits 16.781548013 1.32768130554 26.7906646913 28.2594766885 27.3043017613 1.0017832048 1.03824185802 1.02297806387 R 0.418939654432
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/eso242-018/calibrated/eso242-018-008_cal.fits 17.322394723 0.625365343101 39.6209532473 40.2596525164 39.8298579639 1.50669072665 1.48203613062 1.5030234981 B 1.89149955695
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/eso242-018/calibrated/eso242-018-012_cal.fits 16.9869650756 0.553661715519 36.9613851152 34.3638993807 35.7730095108 1.35996383621 1.13757378186 1.27099743676 B 1.89836964234
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/eso242-018/calibrated/eso242-018-019_cal.fits 17.1065236413 0.59727735386 37.1442450558 35.5342134811 36.3709847348 1.37569025888 1.21297075959 1.3118417084 B 1.82429741607
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/eso242-018/calibrated/eso242-018-024_cal.fits 17.2052594732 0.59391727331 38.5643978489 37.0912593737 37.8674335831 1.46298352792 1.30783229448 1.40352649117 B 1.83083976271
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/eso242-018/calibrated/eso242-018-036_cal.fits 17.1737441471 0.665469183859 39.9394381723 38.1448768716 39.1478537336 1.55709286102 1.38206872924 1.4918042132 B 1.57662349371
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/eso242-018/calibrated/eso242-018-042_cal.fits 17.1779678239 0.67366082103 41.4043974106 39.4098880867 40.5427214968 1.64985362574 1.46219129334 1.58013232098 B 1.49748507907
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/eso242-018/calibrated/eso242-018-050_cal.fits 16.2242673245 0.882986280868 42.4629852678 40.0203043392 41.4100718022 1.72915686518 1.51117918307 1.64712019268 R 1.69637267335
/home/bruno/Data/LIGO_O2/Jan04/newstacks/ESO555-022/eso555-022_170115.fits 17.9970572196 1.21826750943 28.9638570259 29.9098655389 29.1645024682 0.977172486946 0.967961062407 0.973551106769 R 1.39263551127
/home/bruno/Data/LIGO_O2/Jan04/newstacks/ESO555-022/eso555-022_170115_1.fits 17.9459023448 1.20188254177 28.8687436815 30.0049065742 29.1396957234 0.970862264257 0.975951241454 0.972370079776 R 1.50247523562
/home/bruno/Data/LIGO_O2/Jan04/newstacks/ESO555-022/eso555-022_170115_2.fits 18.111964347 1.21004572212 29.340111742 30.4975032646 29.6020509424 0.998794379068 1.00493693602 0.999627529 R 0.489997150414
/home/bruno/Data/LIGO_O2/Jan04/newstacks/ESO555-022/eso555-022_171116_1_median.fits 18.2170360778 1.19228247149 26.5248984225 27.4428572739 26.7233063929 0.985619996918 0.975827235456 0.981924836352 R 1.19247501305
/home/bruno/Data/LIGO_O2/Jan04/newstacks/ESO555-022/eso555-022_171116_2_median.fits 18.0377230589 1.22056489039 26.5451975562 27.4587400425 26.7365641586 0.994741400818 0.985360293578 0.990750766778 R 1.13667587808
/home/bruno/Data/LIGO_O2/Jan04/newstacks/NGC1567/ngc1567_20170115_1.fits 17.65289203 1.25932157665 28.2339704528 28.1718661971 28.1544919674 0.94574728517 0.858272734617 0.918647967297 R 0.256489787308
/home/bruno/Data/LIGO_O2/Jan04/newstacks/NGC1567/ngc1567_20170115_2.fits 17.5206253838 1.27831862336 28.9156768421 28.4828398155 28.6707473009 0.963558068059 0.853182951561 0.926111372016 R 0.162816973145
/home/bruno/Data/LIGO_O2/Jan04/newstacks/NGC1567/ngc1567_171116_1_median.fits 17.1870522269 1.42087447441 26.5554140471 28.1689369231 27.0840086677 0.983497571382 1.02148848764 1.00278002059 R 0.884319284478
/home/bruno/Data/LIGO_O2/Jan04/newstacks/NGC1567/ngc1567_171116_2_median.fits 17.1592986246 1.41417103372 26.5860297929 28.1906917888 27.1096584651 0.984906106878 1.02213368858 1.00377105297 R 0.968222632654
/home/bruno/Data/LIGO_O2/Jan04/newstacks/NGC1567/ngc1567_171116_3_median.fits 17.1411298908 1.40970855239 26.6703326308 28.3650251136 27.2343477618 0.991765238763 1.03586595789 1.01367646614 R 0.83445130554
/home/bruno/Data/LIGO_O2/Jan04/newstacks/NGC1567/ngc1567_171116_4_median.fits 17.1769293913 1.42035861816 26.7103338631 28.3908871079 27.2465306525 0.995720628317 1.03836300434 1.01541705892 R 0.664255114823
/home/bruno/Data/LIGO_O2/Jan04/newstacks/NGC1567/ngc1567_171116_5_median.fits 17.3772125009 1.38997309166 26.1998611238 27.7775549296 26.7259178102 0.95639694869 0.991282260218 0.975310980046 R 1.55882867768
/home/bruno/Data/LIGO_O2/Jan04/newstacks/NGC1567/ngc1567_171116_6_median.fits 17.1364607436 1.39132411512 26.4567278364 28.1141326691 27.0119554363 0.977461715917 1.01852225159 0.998632401851 R 1.43972875608
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/pgc3080859/calibrated/pgc3080859-003_cal.fits 16.1176799767 0.781739381743 39.9790837605 41.051160763 40.4165999179 1.58740353821 1.58629429039 1.5984229306 R 3.91892217457
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/pgc3080859/calibrated/pgc3080859-009_cal.fits 16.2653454166 0.930380494897 44.8816902696 45.9202479782 45.2587435214 1.89914720505 1.89779111541 1.90710158485 R 2.59333169873
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/pgc3080859/calibrated/pgc3080859-015_cal.fits 16.0893264335 0.835731740932 43.0072766468 44.8013648703 43.6508522338 1.78191997083 1.8275265743 1.80644794817 R 4.14228667194
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/pgc3080859/calibrated/pgc3080859-020_cal.fits 16.1722648336 0.900992570084 45.1746134064 46.9728477019 45.9836043434 1.91445497253 1.960509733 1.94910978457 R 3.75236322909
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/pgc3080859/calibrated/pgc3080859-027_cal.fits 16.2744112606 0.906255910577 45.4265743354 47.2346070753 46.1869933914 1.92942196847 1.97623643347 1.9611991073 R 3.8475911352
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/pgc3080859/calibrated/pgc3080859-034_cal.fits 15.9702343834 0.745509473892 39.7468726655 41.8755972456 40.8118151251 1.57734279287 1.64235227849 1.62723460293 R 4.53109741351
/home/bruno/Data/LIGO_O2/Jan04/newstacks/../20170115/pgc3080859/calibrated/pgc3080859-042_cal.fits 16.0920797494 0.852792429146 42.0839862884 44.182221519 43.0619293536 1.72618725318 1.78686531859 1.76974654899 R 3.92970040949
/home/bruno/Data/LIGO_O2/Jan04/newstacks/UGC04959/ugc04959_mask_mean_20171119.fits 16.5819555365 0.758194831957 114.962241832 96.1936110738 105.79440186 6.54798257825 5.24110415363 5.92282818463 R 1.00991690981
/home/bruno/Data/LIGO_O2/Jan04/newstacks/UGC04959/ugc04959_20170120.fits 17.1457969137 0.913467411183 30.4153120588 30.2761235804 29.8420083949 1.00602113246 0.927204713882 0.951218730356 R 0.338123546402
